userid,偏好主要影响品格,偏好图书内容主题,偏好图书类型,偏好图书年代,偏好作者国别,主要特别关注,特定定向水平,行为—认知参考,感知到的父母关系,同伴交往主动性,个体家庭亲密度,平静、放松,全面发展—智,全面发展—德,持有的能力可塑信念,心理韧性
19,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",51,3,13,64,72,25,104,134,54,116
20,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",60,2.533333333,15,75,79,22,114,148,55,131
21,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",67,2.866666667,0,62,57,20,96,141,46,98
22,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",66,3,15,75,76,20,119,157,56,125
23,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[1, 0, 0, 0, 0, 0]",60,3.2,15,75,68,18,102,132,44,83
24,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",43,2.933333333,12,60,73,25,101,144,49,111
25,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",45,2.933333333,9,45,67,12,96,129,36,93
26,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",45,3.2,15,71,83,23,118,146,47,113
27,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",64,3.733333333,15,75,84,21,114,148,51,109
28,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",53,2.866666667,15,75,87,30,112,155,46,129
29,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[1, 0, 0, 0, 0, 0]",49,2.533333333,15,70,75,23,105,139,38,95
30,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",62,3.4,15,70,75,26,116,145,48,107
31,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",56,2.4,14,70,64,25,95,124,47,104
32,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",73,2.2,7,63,68,17,109,136,41,81
33,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",35,2.533333333,9,40,57,18,71,103,41,89
34,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[1, 0, 0, 0, 0, 0]",67,2.933333333,12,66,80,24,102,142,40,89
35,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",51,3.2,15,75,88,24,113,145,54,127
36,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",53,3.066666667,11,60,57,20,106,154,48,84
37,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",59,2.466666667,6,53,45,17,71,116,40,58
38,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",58,2.733333333,15,30,81,14,90,150,53,93
39,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",38,3.2,15,67,56,5,79,140,44,89
40,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",53,3.2,15,75,77,30,117,156,54,130
41,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",43,3.466666667,14,73,78,22,118,158,62,135
42,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[1, 0, 0, 0, 0, 0]",55,3.2,15,75,84,27,117,149,58,131
43,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 0, 0, 1, 0, 0]",50,2.466666667,9,51,59,16,80,120,38,54
44,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[1, 0, 0, 0, 0, 0]",39,2.466666667,15,53,63,20,78,114,38,87
45,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",40,3.4,10,48,52,16,93,110,46,79
46,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",48,2.866666667,15,64,84,22,113,139,52,111
47,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",60,3.2,15,68,74,25,96,126,50,78
48,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",40,2.866666667,15,57,68,23,94,126,46,103
49,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",70,2.533333333,15,52,84,11,91,121,37,89
50,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",57,3.133333333,15,75,75,21,106,135,45,95
51,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",49,2.466666667,4,75,70,27,92,138,43,87
52,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0]","[0, 1]","[1, 0, 0, 0, 0, 0]",44,3.2,12,0,62,0,101,126,40,84
53,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[1, 0, 0, 0, 0, 0]",39,3.333333333,12,55,53,19,86,113,44,83
54,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",33,3.466666667,15,45,60,18,84,126,48,81
55,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[1, 0, 0, 0, 0, 0]",61,3.733333333,15,75,80,28,105,147,47,124
56,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",45,3.466666667,10,72,61,26,54,105,44,87
57,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[1, 0, 0, 0, 0, 0]",43,2.866666667,15,75,76,19,103,150,46,132
58,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 0, 1, 0, 0, 0]",64,3.866666667,15,75,72,22,110,141,50,119
59,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0]","[1, 0]","[1, 0, 0, 0, 0, 0]",57,2.866666667,13,62,52,26,90,132,33,94
60,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",57,2.866666667,13,60,69,16,97,148,42,98
61,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",49,3.4,5,75,83,26,120,144,47,122
62,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",62,2.933333333,15,55,77,21,85,124,46,86
63,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 0, 1, 0, 0, 0]",48,3.4,14,68,68,21,89,127,38,77
64,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[1, 0, 0, 0, 0, 0]",61,3.4,15,71,76,26,122,149,48,105
65,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",78,3.533333333,13,59,74,18,105,138,43,96
66,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",64,2.8,15,59,76,28,106,134,51,110
67,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",57,3.466666667,15,61,65,16,92,146,54,108
68,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",40,2.466666667,13,58,70,16,75,114,40,84
69,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",71,2.933333333,15,71,79,29,103,152,48,104
70,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[1, 0, 0, 0, 0, 0]",46,2.8,5,60,77,22,92,115,44,89
71,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",56,3.6,12,53,77,18,84,129,47,75
72,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",48,2.466666667,14,60,61,22,86,130,51,93
73,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1]","[0, 1, 0, 0, 0, 0]",51,2.8,10,0,55,14,74,107,38,81
74,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",40,2.8,15,45,63,18,78,107,38,79
75,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0]","[1, 0]","[0, 1, 0, 0, 0, 0]",36,2.8,9,44,59,16,74,87,37,84
76,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0]","[1, 0]","[1, 0, 0, 0, 0, 0]",59,2.866666667,14,71,69,14,90,131,51,83
